City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Lincoln,US,2021-07-20 01:51:28,40.8,-96.667,80.51,64,1,8.05,clear sky
137,Abu Dhabi,AE,2021-07-20 01:51:29,24.4667,54.3667,93.31,66,0,4.61,clear sky
138,Ville-Marie,CA,2021-07-20 01:51:29,47.3335,-79.433,68.0,97,100,2.15,moderate rain
139,Swellendam,ZA,2021-07-20 01:51:29,-34.0226,20.4417,48.58,92,100,2.93,overcast clouds
140,Boddam,GB,2021-07-20 01:51:29,57.4667,-1.7833,61.43,91,100,6.89,overcast clouds
141,Atar,MR,2021-07-20 01:51:30,20.5169,-13.0499,91.18,27,88,7.07,overcast clouds
142,Dingle,PH,2021-07-20 01:47:31,10.9995,122.6711,85.08,72,100,13.65,overcast clouds
143,Sisimiut,GL,2021-07-20 01:51:30,66.9395,-53.6735,42.4,89,99,27.11,overcast clouds
144,Hurghada,EG,2021-07-20 01:51:31,27.2574,33.8129,91.44,21,0,18.41,clear sky
145,Vila Velha,BR,2021-07-20 01:50:07,-20.3297,-40.2925,67.95,88,75,10.36,broken clouds
146,Kosh-Agach,RU,2021-07-20 01:51:31,50.0,88.6667,58.78,55,11,2.1,few clouds
147,Karimpur,IN,2021-07-20 01:51:31,23.9667,88.6167,79.27,92,100,7.63,overcast clouds
148,Iquique,CL,2021-07-20 01:50:48,-20.2208,-70.1431,57.24,74,78,7.02,broken clouds
149,Warah,PK,2021-07-20 01:51:32,27.4481,67.7978,94.48,53,68,4.85,broken clouds
150,Salta,AR,2021-07-20 01:48:07,-24.7859,-65.4117,43.39,67,0,3.0,clear sky
151,Bredasdorp,ZA,2021-07-20 01:51:32,-34.5322,20.0403,49.32,93,100,4.61,light rain
152,Tiznit,MA,2021-07-20 01:51:33,29.5833,-9.5,74.08,45,0,4.25,clear sky
153,Rawson,AR,2021-07-20 01:48:22,-43.3002,-65.1023,55.2,39,100,8.39,overcast clouds
154,Novyy Urengoy,RU,2021-07-20 01:51:33,66.0833,76.6333,58.12,57,1,2.15,clear sky
155,Saurimo,AO,2021-07-20 01:51:33,-9.6608,20.3916,54.93,47,8,5.66,clear sky
156,Pampas,PE,2021-07-20 01:51:34,-12.4,-74.9,48.24,86,98,4.54,light rain
157,Araouane,ML,2021-07-20 01:51:34,18.9048,-3.5265,94.35,26,17,12.37,few clouds
158,Hirna,ET,2021-07-20 01:51:34,9.2167,41.1,59.31,79,100,7.94,overcast clouds
159,Pedernales,DO,2021-07-20 01:51:35,18.0384,-71.744,81.81,75,55,10.36,broken clouds
160,Beloha,MG,2021-07-20 01:51:35,-25.1667,45.05,67.98,68,100,9.44,overcast clouds
161,Mianwali,PK,2021-07-20 01:51:35,32.5741,71.5264,80.28,74,100,6.29,overcast clouds
162,Klaksvik,FO,2021-07-20 01:51:36,62.2266,-6.589,50.92,93,96,6.08,overcast clouds
163,State College,US,2021-07-20 01:51:36,40.7934,-77.86,74.59,82,40,5.75,scattered clouds
164,Dhone,IN,2021-07-20 01:51:36,15.4167,77.8833,75.69,79,93,17.47,overcast clouds
165,Tahoua,NE,2021-07-20 01:51:37,14.8888,5.2692,85.96,43,4,11.7,clear sky
166,Orbetello,IT,2021-07-20 01:51:37,42.4408,11.2196,71.8,49,2,4.61,clear sky
167,Karpogory,RU,2021-07-20 01:51:37,64.0019,44.4451,52.18,84,7,3.94,clear sky
168,Surt,LY,2021-07-20 01:51:38,31.2089,16.5887,77.13,71,0,4.36,clear sky
169,Sharanga,RU,2021-07-20 01:51:38,57.1775,46.5396,64.89,88,88,4.21,overcast clouds
170,Bolu,TR,2021-07-20 01:51:38,40.6667,31.5833,68.68,91,0,1.63,clear sky
171,Nikolsk,RU,2021-07-20 01:51:39,53.7189,46.0712,66.99,89,82,5.28,broken clouds
172,Bengkulu,ID,2021-07-20 01:48:28,-3.8004,102.2655,79.56,76,90,2.89,overcast clouds
173,Cabedelo,BR,2021-07-20 01:51:39,-6.9811,-34.8339,75.87,83,27,11.77,scattered clouds
174,Progreso,MX,2021-07-20 01:51:39,21.2833,-89.6667,84.31,82,3,12.5,clear sky
175,Nizhniy Baskunchak,RU,2021-07-20 01:51:40,48.2198,46.8311,84.06,37,0,6.98,clear sky
176,Merrill,US,2021-07-20 01:51:40,45.1805,-89.6835,76.42,77,1,4.61,clear sky
177,Rodrigues Alves,BR,2021-07-20 01:51:40,-7.738,-72.6509,68.04,82,8,3.02,clear sky
178,Mutoko,ZW,2021-07-20 01:51:41,-17.397,32.2268,45.28,70,7,3.87,clear sky
179,Nantucket,US,2021-07-20 01:51:41,41.2835,-70.0995,70.0,73,100,6.15,overcast clouds
180,Marsa Matruh,EG,2021-07-20 01:51:41,31.3525,27.2453,79.0,83,0,8.05,clear sky
181,Corsico,IT,2021-07-20 01:51:42,45.4305,9.1154,75.43,73,0,1.01,clear sky
182,Tank,PK,2021-07-20 01:51:43,32.2217,70.3793,80.58,75,100,5.55,overcast clouds
183,Honningsvag,NO,2021-07-20 01:51:43,70.9821,25.9704,45.12,74,66,30.58,light rain
184,Harper,LR,2021-07-20 01:51:43,4.375,-7.7169,76.24,73,73,9.66,broken clouds
185,Rocha,UY,2021-07-20 01:51:44,-34.4833,-54.3333,39.45,91,0,4.74,clear sky
186,Sarkand,KZ,2021-07-20 01:51:45,45.41,79.9186,83.01,19,2,4.0,clear sky
187,Plouzane,FR,2021-07-20 01:51:46,48.3833,-4.6167,68.09,82,0,8.05,clear sky
188,Pitimbu,BR,2021-07-20 01:51:46,-7.4706,-34.8086,75.79,82,23,10.18,few clouds
189,Umuahia,NG,2021-07-20 01:51:46,5.5263,7.4896,71.8,96,99,3.6,overcast clouds
190,Gunjur,GM,2021-07-20 01:51:47,13.2019,-16.7339,78.87,94,75,0.0,broken clouds
191,Adrar,MR,2021-07-20 01:51:47,20.5022,-10.0711,92.01,14,24,10.63,few clouds
192,Mehamn,NO,2021-07-20 01:51:47,71.0357,27.8492,43.83,79,29,24.79,light rain
