City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Caravelas,BR,71.64,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
420,Grenada,ES,72.91,clear sky,37.1882,-3.6067,HOTEL REINA CRISTINA
425,Tchibanga,GA,65.66,few clouds,-2.85,11.0333,
426,Palma Di Montechiaro,IT,73.62,clear sky,37.1926,13.765,Daphnae House
427,Kapoeta,SS,70.11,light rain,4.7717,33.5903,Eastgate Hotel
428,Chelyabinsk,RU,64.49,mist,55.1544,61.4297,Hotel Slavyanka
430,La Rioja,ES,60.58,clear sky,42.25,-2.5,Casa Concejos
434,Menzelinsk,RU,69.04,scattered clouds,55.7271,53.1026,Odzun
435,Sao Miguel Do Araguaia,BR,74.01,clear sky,-13.275,-50.1628,Hotel Executivo Palace
437,Byadgi,IN,70.95,overcast clouds,14.6833,75.4833,Hotel Shri Raghavendra Bhavana
439,Quatre Cocos,MU,69.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
443,Praia Da Vitoria,PT,71.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
445,Yarmouth,US,70.97,overcast clouds,41.7057,-70.2286,Blue Rock Resort
446,Sena Madureira,BR,67.39,clear sky,-9.0656,-68.6569,Hotel Central
448,Wickford,GB,67.66,overcast clouds,51.611,0.5233,Treatment For Acne
450,Cabrobo,BR,74.34,scattered clouds,-8.5142,-39.31,Hotel Limarques
451,Belmonte,BR,73.9,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
455,Visby,SE,66.85,scattered clouds,57.6409,18.296,Best Western Solhem Hotel Visby
459,Bumba,CD,70.81,overcast clouds,2.1833,22.4667,Hôtel Cape Town
460,Bari,IT,73.18,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
464,Gort,IE,62.35,clear sky,53.0664,-8.8167,Lady Gregory Hotel
465,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
466,Asekeyevo,RU,71.31,few clouds,53.5742,52.7972,
469,Suarez,CO,66.56,clear sky,2.954,-76.6964,Hotel Estrella Dorada
470,Goderich,CA,70.03,few clouds,43.7501,-81.7165,Harmony Inn
471,Karacabey,TR,73.45,clear sky,40.2152,28.4038,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
475,Nadym,RU,62.02,broken clouds,65.5333,72.5167,Apartment on Zvereva
476,Saint-Francois,FR,60.42,clear sky,46.4154,3.9054,Manoir Du Bonheur
477,Benjamin Constant,BR,73.53,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
480,Berlin,DE,62.89,clear sky,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
483,Sovetskiy,RU,66.11,broken clouds,61.3614,63.5842,Apartment on Kievskaya 29
487,Kasamwa,TZ,62.29,scattered clouds,-2.85,32.4333,
489,Ambanja,MG,68.65,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
492,Upata,VE,70.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
493,Odienne,CI,71.73,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
494,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
